0	0
0.01	0.2
0.02	0.28284
0.03	0.34641
0.04	0.4
0.05	0.44721
0.06	0.4899
0.07	0.52915
0.08	0.56568
0.09	0.59999
0.1	0.63245
0.11	0.66331
0.12	0.6928
0.13	0.72107
0.14	0.74828
0.15	0.77452
0.16	0.7999
0.17	0.82448
0.18	0.84834
0.19	0.87153
0.2	0.89411
0.21	0.91611
0.22	0.93757
0.23	0.95852
0.24	0.979
0.25	0.99902
0.26	1.0186
0.27	1.0378
0.28	1.0566
0.29	1.075
0.3	1.093
0.31	1.1107
0.32	1.128
0.33	1.145
0.34	1.1616
0.35	1.178
0.36	1.194
0.37	1.2096
0.38	1.225
0.39	1.24
0.4	1.2547
0.41	1.269
0.42	1.2831
0.43	1.2968
0.44	1.3102
0.45	1.3232
0.46	1.3359
0.47	1.3482
0.48	1.3602
0.49	1.3718
0.5	1.383
0.51	1.3938
0.52	1.4042
0.53	1.4142
0.54	1.4238
0.55	1.4329
0.56	1.4416
0.57	1.4498
0.58	1.4575
0.59	1.4647
0.6	1.4714
0.61	1.4776
0.62	1.4832
0.63	1.4882
0.64	1.4926
0.65	1.4964
0.66	1.4996
0.67	1.5021
0.68	1.5038
0.69	1.5049
0.7	1.5053
0.71	1.5048
0.72	1.5036
0.73	1.5015
0.74	1.4986
0.75	1.4947
0.76	1.49
0.77	1.4843
0.78	1.4776
0.79	1.4699
0.8	1.4612
0.81	1.4513
0.82	1.4403
0.83	1.4282
0.84	1.4148
0.85	1.4002
0.86	1.3843
0.87	1.3671
0.88	1.3484
0.89	1.3284
0.9	1.3069
0.91	1.2838
0.92	1.2593
0.93	1.233
0.94	1.2052
0.95	1.1756
0.96	1.1442
0.97	1.111
0.98	1.076
0.99	1.039
1	1
